intent,range,defense,fps,result,dense_result,min_dense_gap_m
Jab,1.50,0,15,MISS,MISS,0.390161
Jab,1.50,0,30,MISS,MISS,0.390161
Jab,1.50,0,60,MISS,MISS,0.390161
Jab,1.50,0,120,MISS,MISS,0.390161
Jab,1.50,1,15,MISS,MISS,0.598846
Jab,1.50,1,30,MISS,MISS,0.598846
Jab,1.50,1,60,MISS,MISS,0.598846
Jab,1.50,1,120,MISS,MISS,0.598846
Jab,1.50,2,15,MISS,MISS,0.505169
Jab,1.50,2,30,MISS,MISS,0.505169
Jab,1.50,2,60,MISS,MISS,0.505169
Jab,1.50,2,120,MISS,MISS,0.505169
Jab,0.94,0,15,BLOCK,BLOCK,-0.107526
Jab,0.94,0,30,BLOCK,BLOCK,-0.107526
Jab,0.94,0,60,BLOCK,BLOCK,-0.107526
Jab,0.94,0,120,BLOCK,BLOCK,-0.107526
Jab,0.94,1,15,MISS,MISS,0.066282
Jab,0.94,1,30,MISS,MISS,0.066282
Jab,0.94,1,60,MISS,MISS,0.066282
Jab,0.94,1,120,MISS,MISS,0.066282
Jab,0.94,2,15,BLOCK,BLOCK,-0.030052
Jab,0.94,2,30,BLOCK,BLOCK,-0.030052
Jab,0.94,2,60,BLOCK,BLOCK,-0.030052
Jab,0.94,2,120,BLOCK,BLOCK,-0.030052
Jab,0.69,0,15,BLOCK,BLOCK,-0.190952
Jab,0.69,0,30,BLOCK,BLOCK,-0.190952
Jab,0.69,0,60,BLOCK,BLOCK,-0.190952
Jab,0.69,0,120,BLOCK,BLOCK,-0.190952
Jab,0.69,1,15,HIT,HIT,-0.127593
Jab,0.69,1,30,HIT,HIT,-0.127593
Jab,0.69,1,60,HIT,HIT,-0.127593
Jab,0.69,1,120,HIT,HIT,-0.127593
Jab,0.69,2,15,BLOCK,BLOCK,-0.168507
Jab,0.69,2,30,BLOCK,BLOCK,-0.168507
Jab,0.69,2,60,BLOCK,BLOCK,-0.168507
Jab,0.69,2,120,BLOCK,BLOCK,-0.168507
Cross,1.50,0,15,MISS,MISS,0.329375
Cross,1.50,0,30,MISS,MISS,0.329375
Cross,1.50,0,60,MISS,MISS,0.329375
Cross,1.50,0,120,MISS,MISS,0.329375
Cross,1.50,1,15,MISS,MISS,0.543735
Cross,1.50,1,30,MISS,MISS,0.543735
Cross,1.50,1,60,MISS,MISS,0.543735
Cross,1.50,1,120,MISS,MISS,0.543735
Cross,1.50,2,15,MISS,MISS,0.444854
Cross,1.50,2,30,MISS,MISS,0.444854
Cross,1.50,2,60,MISS,MISS,0.444854
Cross,1.50,2,120,MISS,MISS,0.444854
Cross,0.94,0,15,BLOCK,BLOCK,-0.135743
Cross,0.94,0,30,BLOCK,BLOCK,-0.135743
Cross,0.94,0,60,BLOCK,BLOCK,-0.135743
Cross,0.94,0,120,BLOCK,BLOCK,-0.135743
Cross,0.94,1,15,MISS,MISS,0.012449
Cross,0.94,1,30,MISS,MISS,0.012449
Cross,0.94,1,60,MISS,MISS,0.012449
Cross,0.94,1,120,MISS,MISS,0.012449
Cross,0.94,2,15,BLOCK,BLOCK,-0.082901
Cross,0.94,2,30,BLOCK,BLOCK,-0.082901
Cross,0.94,2,60,BLOCK,BLOCK,-0.082901
Cross,0.94,2,120,BLOCK,BLOCK,-0.082901
Cross,0.69,0,15,BLOCK,BLOCK,-0.193926
Cross,0.69,0,30,BLOCK,BLOCK,-0.193926
Cross,0.69,0,60,BLOCK,BLOCK,-0.193926
Cross,0.69,0,120,BLOCK,BLOCK,-0.193926
Cross,0.69,1,15,HIT,HIT,-0.147562
Cross,0.69,1,30,HIT,HIT,-0.147562
Cross,0.69,1,60,HIT,HIT,-0.147562
Cross,0.69,1,120,HIT,HIT,-0.147562
